"hhnum" "region" "rural" "targetgroup" "hhsize" "inchhavg_r" "povthresh_hh" "selfemployhh" "housingown" "liqassets" "anyvehicle" "largeexp" "snapnowhh" "snapnowreport" "usdafoods" "wichh" "adltfscat" "foodsufficient" "grocerylistfreq" "primstoresnaptype" "primstoredist_d" "primstoretime_d" "dietstatuspr" "eathealthyhh" "nutritioneduc" "anyvegetarian" "totalpaid" "ebt_snapamt" "itemstot"
"1" 100076 "Midwest" "Urban" 4 4 4580 1940.25 0 1 1 1 1 1 1 0 -996 "very low" 2 4 "SS" 3.741 8.75 3 1 0 0 234.21 223.01 64
"2" 100107 "Northeast" "Urban" 4 4 1192.643673 2005.75 0 1 1 0 0 1 1 0 -996 "High" 2 3 "SM" 1.466 5.17 2 1 0 0 4.17 4.17 3
"3" 100110 "Northeast" "Urban" 4 5 2639.989889 2379.833333 0 2 1 1 1 1 1 0 -996 "very low" 4 5 "SM" 4.235 9.27 3 0 0 0 14.2 14.2 7
"4" 100132 "Northeast" "Urban" 4 7 855.4 3054.25 0 1 1 1 0 1 1 0 1 "Low" 3 5 "SS" 1 4.83 4 0 0 0 38.19 38.19 29
"5" 100138 "West" "Urban" 4 9 6976.600577 3968.333333 0 1 1 1 0 1 1 0 -996 "Low" 2 3 "SS" 2.363 9.92 3 0 0 0 46.44 46.44 17
"6" 100151 "South" "Rural" 4 5 4223 2283.333333 0 1 1 1 0 1 1 0 0 "High" 2 3 "SS" 4.581 8.5 4 0 0 0 74.57 74.57 55
"7" 100159 "West" "Urban" 4 3 212.7864851 1541.5 0 1 1 1 0 1 1 0 -996 "Low" 2 2 "SS" 6.207 12.37 4 0 0 0 39.54 39.54 9
"8" 100163 "South" "Urban" 4 3 3640 1540 0 3 2 1 0 1 1 0 -996 "High" 1 5 "SS" 6.664 15.82 4 0 0 0 30.13 30.13 23
"9" 100174 "South" "Rural" 4 4 1574 2005.75 1 2 1 1 0 1 1 0 -996 "Marginal" 2 5 "SM" 5.738 9.92 1 1 0 0 86.35 86.35 31
"10" 100192 "West" "Urban" 4 6 2673.338 2556.5 1 2 3 1 1 1 1 0 1 "Low" 2 4 "SS" 2.262 6.08 2 0 1 0 299.82 299.82 39
"11" 100220 "Northeast" "Urban" 4 4 1680 1947 0 1 1 1 0 1 1 0 -996 "High" 2 2 "SM" 1.27 5 3 0 0 0 7.16 7.16 4
"12" 100267 "South" "Rural" 4 5 3050 2340.583333 0 3 1 1 0 1 1 0 -996 "Marginal" 1 3 "SS" 18.826 30.18 2 0 0 0 201.82 74.25 28
"13" 100272 "West" "Urban" 4 4 0 1940.25 0 1 1 0 0 1 1 0 -996 "very low" 4 1 "SS" 2.827 7.92 3 1 0 0 42.49 42.49 9
"14" 100324 "Midwest" "Urban" 4 5 568 2283.333333 0 1 1 0 1 1 1 1 0 "very low" 4 5 "SM" 20.029 27.43 2 0 0 0 148.21 133.71 50
"15" 100339 "South" "Urban" 4 2 1396 1281.166667 0 1 1 0 0 1 1 1 -996 "Low" 2 1 "SS" 2.927 8.4 2 0 0 0 3.25 3.25 3
"16" 100436 "West" "Urban" 4 7 4190 2863.5 0 1 1 1 1 1 1 0 1 "Marginal" 2 3 "SS" 1.896 5.23 1 0 0 0 333.49 318.65 96
"17" 100460 "South" "Urban" 4 3 2267.525953 1540 1 2 1 1 0 1 1 0 1 "High" 1 5 "SM" 2.736 7.28 2 1 0 0 75.47 64.9 35
"18" 100461 "South" "Rural" 4 4 910 1940.25 0 2 1 1 1 1 1 0 -996 "very low" 2 2 "SS" 6.982 11.15 4 0 0 0 429.23 429.23 103
"19" 100485 "South" "Urban" 4 6 2121.930301 2637.25 0 1 1 1 0 1 1 0 0 "Low" 2 3 "SS" 2.95 7.92 4 0 0 0 147.87 141.06 60
"20" 100502 "South" "Rural" 4 6 4470.34 2637.25 0 1 1 1 1 1 1 0 0 "very low" 3 1 "SS" 8.089 12.95 3 0 0 0 229.53 229.53 118
"21" 100514 "Midwest" "Urban" 4 4 1406 1940.25 0 1 1 1 1 1 1 1 -996 "Low" 3 3 "SM" 6.583 21.23 4 1 0 0 9.58 9.58 13
"22" 100520 "Northeast" "Rural" 4 1 828 995.4166667 0 1 1 1 0 1 1 0 -996 "Marginal" 2 5 "SM" 0.658 1.9 5 0 0 0 86.07 83.66 28
"23" 100534 "South" "Urban" 4 3 1100 1540 0 1 1 0 0 1 1 0 -996 "very low" 3 3 "SS" 0.971 3.5 4 0 0 0 83.99 76.64 43
"24" 100539 "Northeast" "Rural" 4 4 1522.738 1940.25 0 1 1 1 0 1 1 0 -996 "High" 1 2 "SS" 11.967 19.15 3 1 0 0 120.78 120.78 38
"25" 100554 "South" "Urban" 4 2 1021 1281.166667 0 1 1 0 0 1 1 0 -996 "very low" 1 5 "SM" 0.503 1.9 3 1 0 0 70.52 70.52 29
"26" 100641 "Midwest" "Urban" 4 5 1484.253841 2340.583333 1 1 1 1 1 1 1 0 0 "Marginal" 1 4 "SM" 1.985 6.4 2 1 0 0 111.03 103.53 47
"27" 100649 "South" "Urban" 4 1 1015 995.4166667 0 1 1 1 0 1 1 0 -996 "Low" 1 3 "SM" 0.9 2.52 2 0 0 0 118.16 106 45
"28" 100656 "West" "Urban" 4 4 4695 1973.416667 0 2 1 1 1 1 1 0 -996 "Marginal" 2 5 "SM" 0.5 2 3 0 0 0 306.28 279.73 109
"29" 100671 "Midwest" "Urban" 4 2 453 1318.75 0 1 1 0 0 1 1 0 -996 "High" 2 3 "SS" 0.672 3.22 4 0 0 0 112.18 111.96 34
"30" 100692 "South" "Urban" 4 2 1083.426415 1318.75 0 2 3 1 0 1 1 0 -996 "High" 2 3 "SS" 5.21 10.12 2 0 0 0 124.5 116.09 50
